State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
Odisha,1,19,0,18,7,1,1,2013,47
Odisha,17,37,2,54,54,1,1,2013,166
Odisha,4,19,0,10,8,1,1,2013,43
Odisha,20,80,3,40,50,1,1,2013,195
Odisha,30,40,4,113,66,1,1,2013,255
Odisha,35,76,0,169,97,1,1,2013,379
Odisha,6,21,0,54,20,1,1,2013,103
Odisha,9,55,4,116,54,1,1,2013,240
Odisha,4,43,4,37,45,1,1,2013,135
Odisha,0,53,2,41,98,1,1,2013,196
Odisha,29,115,1,194,83,1,1,2013,424
Odisha,17,33,0,127,56,1,1,2013,235
Odisha,5,77,2,63,52,1,1,2013,201
Odisha,2,15,9,14,16,1,1,2013,58
Odisha,19,142,5,102,117,1,1,2013,387
Odisha,13,30,2,23,46,0,1,2013,115
Odisha,0,67,1,68,70,0,1,2013,207
Odisha,7,24,0,23,40,0,1,2013,95
Odisha,24,58,0,181,78,0,1,2013,342
Odisha,3,78,0,48,82,0,1,2013,212
Odisha,5,71,11,32,59,0,1,2013,179
Odisha,9,81,4,37,46,0,1,2013,178
Odisha,1,17,3,44,12,0,1,2013,78
Odisha,0,0,0,1,0,0,1,2013,2
Odisha,0,1,3,0,5,0,1,2013,10
Odisha,8,53,1,25,32,0,1,2013,120
Odisha,395,1832,0,2792,2067,0,1,2013,7087
Punjab,3,34,41,50,45,0,1,2013,174
Punjab,2,17,3,17,37,0,1,2013,77
Punjab,1,31,0,35,29,0,1,2013,97
Punjab,4,52,0,89,48,0,1,2013,194
Punjab,4,29,0,101,53,0,1,2013,188
Punjab,11,41,0,162,59,0,1,2013,274
Punjab,13,109,8,140,110,0,1,2013,381
Punjab,3,20,0,21,17,0,1,2013,62
Punjab,1,17,0,47,20,0,1,2013,86
Punjab,4,34,2,33,32,0,1,2013,106
Punjab,3,17,5,48,28,0,1,2013,102
Punjab,0,2,0,0,2,0,1,2013,5
Punjab,3,23,3,44,36,0,1,2013,110
Punjab,5,36,6,154,28,0,1,2013,230
Punjab,5,39,0,71,21,0,1,2013,137
Punjab,7,30,0,62,39,0,1,2013,139
Punjab,2,16,7,24,17,0,1,2013,67
Punjab,2,17,0,20,38,0,1,2013,78
Punjab,1,18,0,23,9,0,1,2013,52
Punjab,5,29,0,24,35,0,1,2013,94
Punjab,3,18,0,39,42,0,1,2013,103
Punjab,0,11,2,32,15,0,1,2013,61
Punjab,11,56,4,159,56,0,1,2013,287
Punjab,4,30,5,27,42,0,1,2013,109
Punjab,11,56,5,63,39,0,1,2013,175
Punjab,10,51,0,191,51,0,1,2013,304
Punjab,1,21,0,31,8,0,1,2013,62
Punjab,7,34,0,34,31,0,1,2013,107
Punjab,126,888,0,1741,987,0,1,2013,3743
Rajasthan,16,100,5,863,155,0,1,2013,1140
Rajasthan,42,316,4,707,253,0,1,2013,1323
Rajasthan,13,117,1,205,105,0,1,2013,442
Rajasthan,1,66,0,289,102,0,1,2013,459
Rajasthan,21,55,2,274,25,0,1,2013,378
Rajasthan,34,164,10,574,201,0,1,2013,984
Rajasthan,8,101,0,652,107,0,1,2013,869
Rajasthan,18,100,32,516,71,0,1,2013,738
Rajasthan,2,63,2,326,98,0,1,2013,492
Rajasthan,4,93,38,782,150,0,1,2013,1068
Rajasthan,10,73,0,420,54,0,1,2013,558
Rajasthan,11,41,0,221,103,0,1,2013,377
Rajasthan,40,56,0,196,72,0,1,2013,365
Rajasthan,0,0,0,0,0,0,1,2013,1
Rajasthan,6,86,5,175,104,0,1,2013,377
Rajasthan,1,1,0,0,5,0,1,2013,8
Rajasthan,0,0,0,0,0,0,1,2013,1
Rajasthan,20,151,3,957,139,0,1,2013,1271
Rajasthan,15,105,0,599,92,0,1,2013,812
Rajasthan,5,49,6,267,94,0,1,2013,422
Rajasthan,4,37,7,300,86,0,1,2013,435
Rajasthan,8,68,0,269,99,0,1,2013,445
Rajasthan,7,42,0,214,71,0,1,2013,335
Rajasthan,5,64,5,329,128,0,1,2013,532
Rajasthan,4,17,4,37,9,0,1,2013,72
Rajasthan,12,44,1,180,38,0,1,2013,276
Rajasthan,5,117,0,478,113,0,1,2013,714
Rajasthan,12,72,0,405,72,0,1,2013,562
Rajasthan,1,20,7,205,49,0,1,2013,283
Rajasthan,11,50,2,166,49,0,1,2013,279
Rajasthan,6,50,8,168,55,0,1,2013,288
Rajasthan,13,48,6,179,77,0,1,2013,324
Rajasthan,6,86,0,512,154,0,1,2013,759
Rajasthan,0,45,0,247,65,0,1,2013,358
Rajasthan,20,97,0,500,106,0,1,2013,724
Rajasthan,16,92,0,512,138,0,1,2013,759
Rajasthan,6,200,3,333,138,0,1,2013,681
Rajasthan,9,40,5,271,67,0,1,2013,393
Rajasthan,5,39,2,206,68,0,1,2013,321
Rajasthan,13,73,0,397,133,0,1,2013,617
Rajasthan,8,47,4,213,61,0,1,2013,334
Rajasthan,5,33,0,352,76,0,1,2013,467
Rajasthan,10,167,1,598,265,0,1,2013,1042
Rajasthan,453,3285,44,15094,4047,0,1,2013,22924
Sikkim,0,22,2,3,9,0,1,2013,37
Sikkim,0,1,38,0,0,0,1,2013,40
Sikkim,0,15,0,1,5,0,1,2013,22
Sikkim,0,5,0,1,2,0,1,2013,9
Sikkim,0,43,0,5,16,0,1,2013,65
Tamil Nadu,3,10,0,8,18,0,1,2013,40
Tamil Nadu,12,83,8,221,42,0,1,2013,367
Tamil Nadu,0,0,0,1,0,0,1,2013,2
Tamil Nadu,1,11,0,49,17,0,1,2013,79
Tamil Nadu,1,17,4,48,3,0,1,2013,74
Tamil Nadu,6,36,0,66,48,0,1,2013,157
Tamil Nadu,2,23,4,65,151,0,1,2013,246
Tamil Nadu,1,13,1,95,95,0,1,2013,206
Tamil Nadu,0,14,1,21,26,0,1,2013,63
Tamil Nadu,3,24,0,18,9,0,1,2013,55
Tamil Nadu,1,12,4,118,30,0,1,2013,166
Tamil Nadu,0,7,1,11,17,0,1,2013,37
Tamil Nadu,12,8,0,47,66,0,1,2013,134
Tamil Nadu,4,33,1,263,96,0,1,2013,398
Tamil Nadu,3,16,6,91,20,0,1,2013,137
Tamil Nadu,3,9,4,9,21,0,1,2013,47
Tamil Nadu,0,23,5,15,38,0,1,2013,82
Tamil Nadu,0,15,4,1,9,0,1,2013,30
Tamil Nadu,0,8,0,5,4,0,1,2013,18
Tamil Nadu,3,10,2,39,49,0,1,2013,104
Tamil Nadu,2,9,0,20,23,0,0,2013,54
Tamil Nadu,5,26,0,47,62,0,0,2013,140
Tamil Nadu,1,16,6,49,17,0,0,2013,89
Tamil Nadu,4,16,2,87,26,0,0,2013,135
Tamil Nadu,0,31,2,46,39,0,0,2013,118
Tamil Nadu,5,25,0,62,34,0,0,2013,126
Tamil Nadu,6,74,2,486,112,0,0,2013,680
Tamil Nadu,0,12,0,18,6,0,0,2013,36
Tamil Nadu,9,21,3,19,23,0,0,2013,75
Tamil Nadu,2,50,4,34,44,0,0,2013,134
Tamil Nadu,1,15,0,15,17,0,0,2013,48
Tamil Nadu,2,52,0,64,24,0,0,2013,142
Tamil Nadu,8,20,4,91,39,0,0,2013,162
Tamil Nadu,0,0,4,0,0,0,0,2013,4
Tamil Nadu,3,23,2,49,24,0,0,2013,101
Tamil Nadu,0,10,1,25,5,0,0,2013,41
Tamil Nadu,8,51,0,40,82,0,0,2013,181
Tamil Nadu,4,67,2,80,155,0,0,2013,308
Tamil Nadu,3,33,9,48,25,0,0,2013,118
Tamil Nadu,118,923,5,2471,1516,0,0,2013,5033
Tripura,1,17,2,51,12,0,0,2013,83
Tripura,6,31,1,164,28,0,0,2013,230
Tripura,0,0,0,0,0,0,0,2013,0
Tripura,4,23,0,42,3,0,0,2013,72
Tripura,4,20,0,113,9,0,0,2013,146
Tripura,1,27,11,118,13,0,0,2013,170
Tripura,5,32,4,93,14,0,0,2013,148
Tripura,5,37,3,51,16,0,0,2013,112
Tripura,3,46,0,195,29,0,0,2013,273
Tripura,29,233,3,827,124,0,0,2013,1216
Uttar Pradesh,98,78,1,399,335,0,0,2013,911
Uttar Pradesh,73,99,0,455,346,0,0,2013,973
Uttar Pradesh,66,102,41,322,239,0,0,2013,770
Uttar Pradesh,17,15,3,4,55,0,0,2013,94
Uttar Pradesh,16,38,0,35,110,0,0,2013,199
Uttar Pradesh,16,23,0,171,92,0,0,2013,302
Uttar Pradesh,28,16,0,68,70,0,0,2013,182
Uttar Pradesh,36,39,0,155,135,0,0,2013,365
Uttar Pradesh,58,54,8,58,128,0,0,2013,306
Uttar Pradesh,12,25,0,106,72,0,0,2013,215
Uttar Pradesh,42,35,0,1,140,0,0,2013,218
Uttar Pradesh,24,18,2,4,123,0,0,2013,171
Uttar Pradesh,7,23,5,8,65,0,0,2013,108
Uttar Pradesh,32,47,0,129,113,0,0,2013,321
Uttar Pradesh,26,39,3,98,78,0,0,2013,244
Uttar Pradesh,58,84,6,257,291,0,0,2013,696
Uttar Pradesh,11,24,0,44,80,0,0,2013,159
Uttar Pradesh,31,71,0,6,149,0,0,2013,257
Uttar Pradesh,52,97,7,162,255,0,0,2013,573
Uttar Pradesh,16,20,0,0,46,0,0,2013,82
Uttar Pradesh,14,23,0,7,22,0,0,2013,66
Uttar Pradesh,37,44,0,27,145,0,0,2013,253
Uttar Pradesh,32,34,0,99,101,0,0,2013,266
Uttar Pradesh,30,23,2,62,74,0,0,2013,191
Uttar Pradesh,11,35,4,7,135,0,0,2013,192
Uttar Pradesh,34,25,5,38,95,0,0,2013,197
Uttar Pradesh,39,42,5,80,112,0,0,2013,278
Uttar Pradesh,66,39,0,165,187,0,0,2013,457
Uttar Pradesh,3,3,0,1,28,0,0,2013,35
Uttar Pradesh,31,39,0,164,150,0,0,2013,384
Uttar Pradesh,44,84,0,491,289,0,0,2013,908
Uttar Pradesh,27,22,5,76,93,0,0,2013,223
Uttar Pradesh,32,24,4,4,149,0,0,2013,213
Uttar Pradesh,39,87,1,95,282,0,0,2013,504
Uttar Pradesh,15,50,0,0,68,0,0,2013,133
Uttar Pradesh,21,35,2,52,71,0,0,2013,181
Uttar Pradesh,24,28,10,122,130,0,0,2013,314
Uttar Pradesh,21,37,0,76,86,0,0,2013,220
Uttar Pradesh,22,7,32,33,52,0,0,2013,146
Uttar Pradesh,60,53,2,77,131,0,0,2013,323
Uttar Pradesh,24,40,38,65,74,0,0,2013,241
Uttar Pradesh,26,16,0,59,84,0,0,2013,185
Uttar Pradesh,32,29,0,67,74,0,0,2013,202
Uttar Pradesh,56,41,0,239,248,0,0,2013,584
Uttar Pradesh,24,17,0,27,89,0,0,2013,157
Uttar Pradesh,22,27,5,67,56,0,0,2013,177
Uttar Pradesh,57,49,0,152,189,0,0,2013,447
Uttar Pradesh,29,33,0,48,143,0,0,2013,253
Uttar Pradesh,11,10,3,18,26,0,0,2013,68
Uttar Pradesh,60,76,0,920,375,0,0,2013,1431
Uttar Pradesh,23,28,6,58,116,0,0,2013,231
Uttar Pradesh,16,30,7,26,45,0,0,2013,124
Uttar Pradesh,38,20,0,94,142,0,0,2013,294
Uttar Pradesh,32,59,0,196,138,0,0,2013,425
Uttar Pradesh,11,26,5,94,94,0,0,2013,230
Uttar Pradesh,42,109,4,209,282,0,0,2013,646
Uttar Pradesh,19,5,1,30,8,0,0,2013,63
Uttar Pradesh,27,69,0,299,173,0,0,2013,568
Uttar Pradesh,25,49,0,270,214,0,0,2013,558
Uttar Pradesh,35,30,7,125,91,0,0,2013,288
Uttar Pradesh,30,66,2,39,157,0,0,2013,294
Uttar Pradesh,23,43,8,72,104,0,0,2013,250
Uttar Pradesh,19,26,6,119,93,0,0,2013,263
Uttar Pradesh,34,34,0,198,137,0,0,2013,403
Uttar Pradesh,30,42,0,88,112,0,0,2013,272
Uttar Pradesh,5,23,0,8,60,0,0,2013,96
Uttar Pradesh,43,36,0,142,116,0,0,2013,337
Uttar Pradesh,11,34,3,52,87,0,0,2013,187
Uttar Pradesh,18,21,5,0,50,0,0,2013,94
Uttar Pradesh,8,17,2,33,59,0,0,2013,119
Uttar Pradesh,63,95,0,130,256,1,0,2013,545
Uttar Pradesh,13,32,4,12,17,1,0,2013,79
Uttar Pradesh,13,10,0,19,18,1,0,2013,61
Uttar Pradesh,15,29,1,111,107,1,0,2013,264
Uttar Pradesh,44,41,44,190,173,1,0,2013,493
Uttar Pradesh,36,57,2,347,208,1,0,2013,651
Uttar Pradesh,2335,3050,38,8781,9737,1,0,2013,23942
Uttarakhand,2,8,0,9,18,1,0,2013,38
Uttarakhand,1,2,0,2,4,1,0,2013,10
Uttarakhand,0,8,0,2,35,1,0,2013,46
Uttarakhand,1,0,0,1,15,1,0,2013,18
Uttarakhand,9,41,8,159,148,1,0,2013,366
Uttarakhand,5,75,0,101,192,1,0,2013,374
Uttarakhand,5,20,0,31,55,1,0,2013,112
Uttarakhand,2,3,4,6,25,1,0,2013,41
Uttarakhand,2,7,0,5,19,1,0,2013,34
Uttarakhand,4,5,4,3,10,1,0,2013,27
Uttarakhand,0,5,1,0,14,1,0,2013,21
Uttarakhand,12,48,1,116,87,1,0,2013,265
Uttarakhand,0,6,0,0,11,1,0,2013,18
Uttarakhand,43,228,4,435,633,1,0,2013,1344
West Bengal,35,115,1,1716,258,1,0,2013,2126
West Bengal,49,189,0,1978,397,1,0,2013,2614
West Bengal,15,31,1,467,87,1,0,2013,602
West Bengal,19,24,6,278,36,1,0,2013,364
West Bengal,6,17,4,229,43,1,0,2013,300
West Bengal,12,41,5,245,45,1,0,2013,349
West Bengal,21,41,4,705,132,1,0,2013,904
West Bengal,25,41,0,378,107,1,0,2013,552
West Bengal,15,110,2,631,141,1,0,2013,900
West Bengal,32,35,0,345,100,1,0,2013,513
West Bengal,0,30,0,158,35,1,0,2013,224
West Bengal,19,54,6,922,163,1,0,2013,1165
West Bengal,10,23,2,682,92,1,0,2013,810
West Bengal,3,22,2,609,141,1,0,2013,778
West Bengal,2,1,0,1,6,1,0,2013,11
West Bengal,12,121,2,779,263,1,0,2013,1178
West Bengal,6,10,0,62,17,1,0,2013,96
West Bengal,0,2,3,0,1,1,0,2013,7
West Bengal,15,75,4,1005,145,1,0,2013,1245
West Bengal,14,140,0,597,182,1,0,2013,934
West Bengal,35,215,0,1939,341,1,0,2013,2531
West Bengal,69,87,4,1666,346,1,0,2013,2173
West Bengal,25,46,4,549,155,1,0,2013,780
West Bengal,24,53,2,606,199,1,0,2013,885
West Bengal,8,54,1,158,49,1,0,2013,271
West Bengal,0,2,0,2,10,1,0,2013,15
West Bengal,0,0,2,0,1,1,0,2013,4
West Bengal,5,35,9,616,115,1,0,2013,781
West Bengal,5,71,5,793,223,1,0,2013,1098
West Bengal,481,1685,2,18116,3830,1,0,2013,24115
A&N Islands,0,1,1,0,0,1,0,2013,3
A&N Islands,0,5,0,5,5,1,0,2013,16
A&N Islands,1,21,0,4,7,1,0,2013,34
A&N Islands,1,27,0,9,12,1,0,2013,50
Chandigarh,1,45,11,92,174,1,0,2013,324
Chandigarh,1,45,4,92,174,1,0,2013,317
D&N Haveli,0,5,3,1,11,1,0,2013,21
D&N Haveli,0,5,0,1,11,1,0,2013,18
Daman & Diu,0,7,3,2,4,1,0,2013,17
Daman & Diu,0,1,1,0,2,1,0,2013,5
Daman & Diu,0,8,0,2,6,1,0,2013,17
Delhi UT,0,0,41,202,0,1,0,2013,244
Delhi UT,2,71,3,50,113,1,0,2013,240
Delhi UT,0,4,0,0,0,1,0,2013,5
Delhi UT,11,210,0,246,428,1,0,2013,896
Delhi UT,0,0,0,0,0,1,0,2013,1
Delhi UT,0,4,0,0,5,1,0,2013,10
Delhi UT,0,0,8,0,1,1,0,2013,10
Delhi UT,1,0,0,2,4,1,0,2013,8
Delhi UT,1,19,0,17,35,1,0,2013,73
Delhi UT,9,53,2,107,151,1,0,2013,323
Delhi UT,27,183,5,438,513,1,0,2013,1167
Delhi UT,17,143,0,236,343,1,0,2013,740
Delhi UT,14,178,3,466,530,1,0,2013,1192
Delhi UT,10,163,6,117,328,1,0,2013,625
Delhi UT,16,230,0,220,404,1,0,2013,871
Delhi UT,14,194,0,403,330,1,0,2013,942
Delhi UT,0,0,7,0,0,1,0,2013,8
Delhi UT,22,184,0,529,424,1,0,2013,1160
Delhi UT,144,1636,0,3033,3609,1,0,2013,8423
Lakshadweep,0,2,0,0,0,1,0,2013,3
Lakshadweep,0,2,0,0,0,1,0,2013,3
Puducherry,1,6,2,1,2,1,0,2013,13
Puducherry,0,11,4,7,23,1,0,2013,46
Puducherry,1,17,5,8,25,1,0,2013,57
Andhra Pradesh,25,35,5,165,106,1,0,2014,337
Andhra Pradesh,17,32,0,278,34,1,0,2014,362
Andhra Pradesh,16,28,0,91,16,1,0,2014,152
Andhra Pradesh,7,85,0,464,25,1,0,2014,582
Andhra Pradesh,0,0,0,0,0,1,0,2014,1
Andhra Pradesh,16,49,5,454,46,1,0,2014,571
Andhra Pradesh,12,40,4,345,56,1,0,2014,458
Andhra Pradesh,8,80,1,613,34,1,0,2014,737
Andhra Pradesh,12,32,0,362,37,1,0,2014,444
Andhra Pradesh,14,58,2,362,124,1,0,2014,561
Andhra Pradesh,8,50,10,402,50,1,0,2014,521
Andhra Pradesh,3,35,0,190,8,1,0,2014,237
Andhra Pradesh,3,40,32,298,10,1,0,2014,384
Andhra Pradesh,13,18,2,167,17,1,0,2014,218
Andhra Pradesh,10,64,38,642,27,1,0,2014,782
Andhra Pradesh,2,0,0,1,2,1,0,2014,6
Andhra Pradesh,4,38,0,166,15,1,0,2014,224
Andhra Pradesh,13,84,0,371,50,1,0,2014,519
Andhra Pradesh,8,47,0,330,19,1,0,2014,405
Andhra Pradesh,24,146,5,661,45,1,0,2014,882
Andhra Pradesh,215,961,0,6362,721,1,0,2014,8260
Arunachal Pradesh,0,0,0,0,1,1,0,2014,2
Arunachal Pradesh,0,6,3,0,6,1,0,2014,16
Arunachal Pradesh,0,0,0,0,0,1,0,2014,1
Arunachal Pradesh,0,1,6,0,0,1,0,2014,8
Arunachal Pradesh,0,1,7,0,1,1,0,2014,10
Arunachal Pradesh,0,0,0,2,2,1,0,2014,5
Arunachal Pradesh,0,3,0,0,0,1,0,2014,4
Arunachal Pradesh,0,7,5,1,25,1,0,2014,39
Arunachal Pradesh,0,3,4,0,4,1,0,2014,12
Arunachal Pradesh,0,3,1,0,2,1,0,2014,7
Arunachal Pradesh,1,32,0,21,36,1,0,2014,91
Arunachal Pradesh,0,0,0,0,4,1,0,2014,5
Arunachal Pradesh,0,11,7,4,2,1,0,2014,25
Arunachal Pradesh,0,1,2,0,0,1,0,2014,4
Arunachal Pradesh,0,6,8,8,1,1,0,2014,24
Arunachal Pradesh,0,1,6,3,2,1,0,2014,13
Arunachal Pradesh,0,5,0,3,2,1,0,2014,11
Arunachal Pradesh,0,0,0,0,0,1,0,2014,1
Arunachal Pradesh,0,3,0,0,3,1,0,2014,7
Arunachal Pradesh,1,83,0,42,91,1,0,2014,218
Assam,21,143,3,1116,359,1,0,2014,1643
Assam,4,26,5,77,36,1,0,2014,149
Assam,4,31,2,178,29,1,0,2014,245
Assam,14,81,0,595,214,1,0,2014,905
Assam,7,29,4,60,42,1,0,2014,143
Assam,11,111,0,489,186,1,0,2014,798
Assam,3,45,1,111,68,1,0,2014,229
Assam,10,193,44,1186,405,1,0,2014,1839
Assam,5,67,2,253,123,1,0,2014,451
Assam,8,108,38,367,119,1,0,2014,641
Assam,7,74,0,166,190,1,0,2014,438
Assam,11,100,0,486,424,1,0,2014,1022
Assam,4,77,0,209,89,1,0,2014,380
Assam,6,36,0,401,72,1,0,2014,516
Assam,1,77,8,595,47,1,0,2014,729
Assam,0,23,0,42,55,1,0,2014,121
Assam,13,76,0,337,109,1,0,2014,536
Assam,3,45,4,71,79,1,0,2014,203
Assam,4,67,0,369,150,1,0,2014,591
Assam,7,81,4,349,174,1,0,2014,616
Assam,0,6,1,6,25,1,0,2014,39
Assam,22,187,1,1162,295,1,0,2014,1668
Assam,0,41,0,42,100,1,0,2014,184
Assam,6,44,4,333,177,1,0,2014,565
Assam,5,112,1,381,202,1,0,2014,702
Assam,3,66,0,164,64,1,0,2014,298
Assam,9,34,1,81,62,1,0,2014,188
Assam,188,1980,6,9626,3895,1,0,2014,15696
Bihar,17,35,4,6,68,1,0,2014,131
Bihar,11,6,5,0,18,1,0,2014,41
Bihar,28,12,4,110,70,1,0,2014,225
Bihar,7,14,0,56,56,1,0,2014,134
Bihar,23,22,2,64,62,1,0,2014,174
Bihar,28,30,0,55,132,1,0,2014,246
Bihar,39,33,0,106,102,1,0,2014,281
Bihar,12,12,6,44,61,1,0,2014,136
Bihar,20,52,2,161,165,1,0,2014,401
Bihar,46,32,2,129,115,1,0,2014,325
Bihar,24,16,0,95,72,1,0,2014,208
Bihar,30,50,0,298,216,1,0,2014,595
Bihar,63,48,4,198,174,1,0,2014,488
Bihar,33,14,2,156,110,1,0,2014,316
Bihar,0,0,23,0,2,1,0,2014,26
Bihar,21,23,1,46,46,1,0,2014,138
Bihar,22,10,29,56,66,1,0,2014,184
Bihar,14,65,0,59,116,1,0,2014,255
Bihar,0,0,1,0,1,1,0,2014,3
Bihar,17,14,0,19,92,1,0,2014,143
Bihar,12,64,2,85,101,1,0,2014,265
Bihar,8,10,0,29,35,1,0,2014,83
Bihar,8,10,0,50,64,1,0,2014,133
Bihar,34,41,0,227,169,1,0,2014,472
Bihar,75,31,0,263,223,1,0,2014,593
Bihar,8,11,12,48,49,1,0,2014,129
Bihar,178,44,4,109,215,1,0,2014,551
Bihar,2,2,0,0,2,1,0,2014,7
Bihar,59,29,4,271,124,1,0,2014,488
Bihar,10,10,1,88,36,1,0,2014,146
Bihar,22,22,1,77,57,1,0,2014,180
Bihar,83,86,1,535,519,1,0,2014,1225
Bihar,5,1,4,0,1,1,0,2014,12
Bihar,26,66,1,115,140,1,0,2014,349
Bihar,54,22,0,106,115,1,0,2014,298
Bihar,19,14,1,70,94,1,0,2014,199
Bihar,39,38,6,184,173,1,0,2014,441
Bihar,83,37,4,157,160,1,0,2014,442
Bihar,6,5,5,72,34,1,0,2014,123
Bihar,6,8,4,14,24,1,0,2014,57
Bihar,29,11,0,242,188,1,0,2014,471
Bihar,64,17,2,50,152,1,0,2014,286
Bihar,22,32,0,83,90,1,0,2014,228
Bihar,66,28,0,139,226,1,0,2014,460
Bihar,0,0,6,0,0,1,0,2014,7
Bihar,0,0,2,0,0,1,0,2014,3
Bihar,1373,1127,2,4672,4735,1,0,2014,11910
Chhattisgarh,4,34,0,23,18,1,0,2014,80
Chhattisgarh,8,40,0,32,113,1,0,2014,194
Chhattisgarh,5,111,4,39,14,1,0,2014,174
Chhattisgarh,3,41,2,19,23,1,0,2014,89
Chhattisgarh,13,94,23,75,156,1,0,2014,362
Chhattisgarh,0,6,1,2,8,1,0,2014,18
Chhattisgarh,0,11,29,6,6,1,0,2014,53
Chhattisgarh,3,36,0,9,19,1,0,2014,68
Chhattisgarh,12,84,1,172,150,1,0,2014,420
Chhattisgarh,3,42,0,14,13,1,0,2014,73
Chhattisgarh,1,0,2,4,1,1,0,2014,9
Chhattisgarh,1,32,0,20,31,1,0,2014,85
Chhattisgarh,20,64,0,90,106,1,0,2014,281
Chhattisgarh,0,86,0,11,33,1,0,2014,131
Chhattisgarh,6,39,0,14,54,1,0,2014,114
Chhattisgarh,5,40,0,25,31,1,0,2014,102
Chhattisgarh,1,21,1,8,15,1,0,2014,47
Chhattisgarh,6,68,2,51,36,1,0,2014,164
Chhattisgarh,2,58,5,59,62,1,0,2014,187
Chhattisgarh,10,44,7,28,65,1,0,2014,155
Chhattisgarh,6,10,1,14,32,1,0,2014,64
Chhattisgarh,0,7,2,1,5,1,0,2014,16
Chhattisgarh,7,121,0,46,49,1,0,2014,224
Chhattisgarh,3,141,0,96,179,1,0,2014,420
Chhattisgarh,4,57,0,33,93,1,0,2014,188
Chhattisgarh,4,94,1,23,11,1,0,2014,134
Chhattisgarh,0,5,2,3,5,1,0,2014,16
Chhattisgarh,1,50,5,47,65,1,0,2014,169
Chhattisgarh,128,1436,7,964,1393,1,0,2014,3929
Goa,0,55,1,11,55,1,0,2014,123
Goa,0,37,2,23,31,1,0,2014,94
Goa,0,3,0,1,0,1,0,2014,5
Goa,0,95,0,35,86,1,0,2014,217
Gujarat,11,100,0,802,261,1,0,2014,1175
Gujarat,0,18,1,142,80,1,0,2014,242
Gujarat,0,7,2,139,65,1,0,2014,214
Gujarat,0,12,5,117,71,1,0,2014,206
Gujarat,0,5,7,69,37,1,0,2014,119
Gujarat,0,56,1,295,105,1,0,2014,458
Gujarat,0,42,2,63,45,1,0,2014,153
Gujarat,0,17,0,155,97,1,0,2014,270
Gujarat,0,11,0,39,25,1,0,2014,76
Gujarat,0,15,0,21,38,1,0,2014,75
Gujarat,0,0,1,0,0,1,0,2014,2
Gujarat,0,27,2,133,95,1,0,2014,258
Gujarat,1,4,5,26,2,1,0,2014,39
Gujarat,0,3,7,131,13,1,0,2014,155
Gujarat,0,17,1,152,65,1,0,2014,236
Gujarat,1,17,2,125,29,1,0,2014,175
Gujarat,1,34,0,230,56,1,0,2014,322
Gujarat,0,21,0,297,64,1,0,2014,383
Gujarat,0,31,0,159,39,1,0,2014,230
Gujarat,0,18,1,203,26,1,0,2014,249
Gujarat,0,12,2,86,78,1,0,2014,179
Gujarat,0,10,5,96,22,1,0,2014,134
Gujarat,0,6,7,270,92,1,0,2014,376
Gujarat,3,9,1,92,22,1,0,2014,128
Gujarat,0,8,2,15,15,1,0,2014,41
Gujarat,0,15,0,69,32,1,0,2014,117
Gujarat,0,24,0,106,66,1,0,2014,197
Gujarat,1,25,0,138,48,1,0,2014,213
Gujarat,1,8,1,93,17,1,0,2014,121
Gujarat,0,17,2,301,69,1,0,2014,390
Gujarat,1,30,5,234,61,1,0,2014,332
Gujarat,0,10,7,131,34,1,0,2014,183
Gujarat,2,94,1,405,120,1,0,2014,623
Gujarat,0,21,2,90,35,1,0,2014,149
Gujarat,0,22,0,89,37,1,0,2014,149
Gujarat,0,15,0,20,10,1,0,2014,46
Gujarat,1,23,0,306,75,1,0,2014,406
Gujarat,0,11,1,67,62,1,0,2014,142
Gujarat,0,26,2,83,76,1,0,2014,188
Gujarat,0,0,5,2,0,1,0,2014,8
Gujarat,0,0,7,0,3,1,0,2014,11
Gujarat,23,841,1,5991,2187,1,0,2014,9044
Haryana,9,25,2,52,58,1,0,2014,147
Haryana,8,31,0,111,86,1,0,2014,237
Haryana,12,44,0,119,83,1,0,2014,259
Haryana,20,101,0,302,272,1,0,2014,696
Haryana,7,27,1,154,33,1,0,2014,223
Haryana,8,1,2,0,4,1,0,2014,16
Haryana,19,117,5,277,260,1,0,2014,679
Haryana,14,55,7,323,62,1,0,2014,462
Haryana,25,56,1,125,17,1,0,2014,225
Haryana,12,23,2,120,67,1,0,2014,225
Haryana,10,33,0,116,77,1,0,2014,237
Haryana,17,100,0,223,186,1,0,2014,527
Haryana,6,35,0,100,57,1,0,2014,199
Haryana,15,24,1,78,59,1,0,2014,178
Haryana,5,85,2,106,30,1,0,2014,229
Haryana,16,49,5,193,72,1,0,2014,336
Haryana,5,36,7,73,90,1,0,2014,212
Haryana,18,64,1,227,92,1,0,2014,403
Haryana,11,41,2,105,83,1,0,2014,243
Haryana,16,68,0,168,19,1,0,2014,272
Haryana,5,49,0,174,65,1,0,2014,294
Haryana,28,60,0,162,68,1,0,2014,319
Haryana,7,50,1,170,82,1,0,2014,311
Haryana,0,0,2,0,0,1,0,2014,3
Haryana,293,1174,5,3478,1922,1,0,2014,6873
Himachal Pradesh,0,9,7,19,10,1,0,2014,46
